"Store code","Business name","Address","Labels","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","12 AM","1 AM","3 AM","3 AM","4 AM","5 AM","6 AM","7 AM","8 AM","9 AM","10 AM","11 AM","12 PM","1 PM","2 PM","3 PM","4 PM","5 PM","6 PM","7 PM","8 PM","9 PM","10 PM","11 PM"
,,,,"Total number of phone calls made on Monday","Total number of phone calls made on Tuesday","Total number of phone calls made on Wednesday","Total number of phone calls made on Thursday","Total number of phone calls made on Friday","Total number of phone calls made on Saturday","Total number of phone calls made on Sunday","Total number of phone calls made between 12 AM and 1 AM","Total number of phone calls made between 1 AM and 3 AM","Total number of phone calls made between 3 AM and 3 AM","Total number of phone calls made between 3 AM and 4 AM","Total number of phone calls made between 4 AM and 5 AM","Total number of phone calls made between 5 AM and 6 AM","Total number of phone calls made between 6 AM and 7 AM","Total number of phone calls made between 7 AM and 8 AM","Total number of phone calls made between 8 AM and 9 AM","Total number of phone calls made between 9 AM and 10 AM","Total number of phone calls made between 10 AM and 11 AM","Total number of phone calls made between 11 AM and 12 PM","Total number of phone calls made between 12 PM and 1 PM","Total number of phone calls made between 1 PM and 2 PM","Total number of phone calls made between 2 PM and 3 PM","Total number of phone calls made between 3 PM and 4 PM","Total number of phone calls made between 4 PM and 5 PM","Total number of phone calls made between 5 PM and 6 PM","Total number of phone calls made between 6 PM and 7 PM","Total number of phone calls made between 7 PM and 8 PM","Total number of phone calls made between 8 PM and 9 PM","Total number of phone calls made between 9 PM and 10 PM","Total number of phone calls made between 10 PM and 11 PM","Total number of phone calls made between 11 PM and 12 AM"
,"Врати Порта Нова - Ситняково","bulevard ""Sitnyakovo"" 23, 1505 Sofia",,1,6,4,6,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,6,1,2,5,2,0,1,0,0,0,0,0
,"Интериорни врати Златев - Стара Загора - Входни врати","ул. „Димчо Стаев“ 60, 6003 Стара Загора","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
,"Врати Златев","ж.к. Овча купел, ул. Любляна 46, 1618 София","врати, интериорни врати, входни врати, блиндирани врати, метални врати, алуминиеви врати, стъклени врати, пожароустойчиви врати",1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
,"Врати Експерт Русе","бул. Липник 129, 7005 Русе",,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
,"Врати Русе","улица „Борисова“ 44, 7000 Русе","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
,"Врати Пловдив - Чехов","площад „Антон Чехов“ 5, 4003 Пловдив","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",4,2,3,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,2,1,2,0,0,0,0,0,0,0
,"Интериорни врати Порта Нова Велико Търново - блиндирани входни врати","булевард „Никола Габровски“ 67, 5002 Велико Търново","врати, интериорни врати, входни врати, метални врати, блиндирани врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
,"Врати Дорман - Бургас","улица „Сливница“ 62А, 8000 Бургас","врати, интериорни врати, входни врати, блиндирани врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",18,7,3,3,2,3,0,0,0,0,0,0,0,0,0,0,5,3,4,9,0,3,4,3,5,0,0,0,0,0,0
,"Интериорни врати Порта Нова - Входни врати и блиндирани врати","булевард „6-ти Септември“ 225 Б, 4006 Пловдив","врати, интериорни врати, блиндирани врати, входни врати, стъклени врати, метални врати, алуминиеви врати, пожароустойчиви врати",2,3,6,2,1,3,1,0,0,0,0,0,0,0,0,0,2,2,3,1,0,2,5,2,0,0,1,0,0,0,0
,"Врати София - Раковски","улица ""Георги. С. Раковски“ 59, 1202 София","врати, интериорни врати, входни врати, блиндирани врати, метални врати, алуминиеви врати, стъклени врати, пожароустойчиви врати",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
,"Входни врати Порта Нова Пловдив - интериорни врати и блиндирани врати","бул. „Васил Априлов“ 49, 4002 Пловдив","врати, интериорни врати, входни врати, метални врати, блиндирани врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",7,0,3,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,5,1,1,0,0,0,0,0,0
,"Врати Експерт Ловеч","бул. „България“ 15, 5500 Lovech","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
,"Хипер Врати","кв. Орландовци, бул. История славянобългарска, №7, 1220 София","врати, интериорни врати, входни врати, метални врати, блиндирани врати, алуминиеви врати, стъклени врати, пожароустойчиви врати",0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0
,"Интериорни Врати - Врати Експерт - Варна","булевард „Цар Освободител“ 189, 9020 Варна","врати, входни врати, интериорни врати, стъклени врати, пожароустойчиви врати, метални врати, блиндирани врати, алуминиеви врати",0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,1,0,0,0,1,0,0,0,0
,"Врати Експерт - София","бул. ген. Данаил Николаев 32-34, 1527 София","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",3,1,1,7,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,1,1,2,0,2,0,0,0,0,0,0
,"Врати Дорман София - Дружба","бул. Цветан Лазаров 14, 1592 София","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",0,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,3,0,1,0,0,0,0
,"Врати Дорман - Пловдив","булевард „Източен“ 121, 4000 Пловдив","врати, входни врати, интериорни врати, блиндирани врати, метални врати, стъклени врати, пожароустойчиви врати, алуминиеви врати",4,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,0,0,1,3,0,0,0,1,0
